City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Rikitea,PF,77.4,light rain,-23.1203,-134.9692,People ThankYou
7,Sao Miguel Do Araguaia,BR,80.1,few clouds,-13.275,-50.1628,Hotel Executivo Palace
10,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
12,Vanimo,PG,77.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
14,Jaynagar-Majilpur,IN,83.12,scattered clouds,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
15,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
16,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
17,Salalah,OM,82.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
18,Broome,US,84.18,scattered clouds,42.2506,-75.833,Chenango Valley State Park
21,Pathein,MM,79.54,broken clouds,16.7833,94.7333,Pathein Hotel
22,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
23,Amnat Charoen,TH,76.03,overcast clouds,15.9167,104.75,หอพักนักศึกษา
27,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
29,Majene,ID,78.35,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
30,Bubaque,GW,77.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Butaritari,KI,81.39,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
44,Sinnamary,GF,79.12,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Kenitra,MA,79.56,light rain,34.261,-6.5802,Bienvenue chez vous
49,Belmonte,BR,77.86,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
50,Veraval,IN,82.81,clear sky,20.9,70.3667,Lords Inn Somnath
52,Poum,NC,76.28,overcast clouds,-20.2333,164.0167,
53,Pathalgaon,IN,80.38,clear sky,22.5667,83.4667,Queens Park Marriage Garden
58,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
66,Hithadhoo,MV,83.23,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Sawakin,SD,82.81,clear sky,19.1059,37.3321,فندق الدويم
77,Tautira,PF,81.25,few clouds,-17.7333,-149.15,Pension Oaoa
83,Khash,IR,77.49,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
87,Windsor Locks,US,83.77,broken clouds,41.9293,-72.6273,Fairfield Inn & Suites by Marriott Hartford Airport
90,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
99,Pagudpud,PH,79.14,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
102,Gizo,SB,82.49,overcast clouds,-8.103,156.8419,Imagination Island
105,Jamestown,US,82.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
106,Oussouye,SN,82.58,clear sky,12.485,-16.5469,Auberge du Routard
113,Coruripe,BR,77.36,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
118,Lagos,NG,82.72,clear sky,6.5833,3.75,
120,Atuona,PF,79.07,few clouds,-9.8,-139.0333,Villa Enata
128,Naifaru,MV,83.1,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
131,Faanui,PF,82.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Loa Janan,ID,75.0,overcast clouds,-0.583,117.095,Ss
137,Hobyo,SO,81.97,broken clouds,5.3505,48.5268,Iftin hotel hobyo
144,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
148,Catuday,PH,80.01,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
149,Meulaboh,ID,77.76,overcast clouds,4.1363,96.1285,Kost Pria
155,Miramar,US,82.02,overcast clouds,25.9873,-80.2323,Stadium Hotel
162,Ambulu,ID,77.04,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
164,Talisay,PH,80.62,few clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
174,Karratha,AU,79.7,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
179,Buala,SB,81.28,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
180,Yaan,NG,81.1,broken clouds,7.3833,8.5667,
185,Guerrero Negro,MX,81.34,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
186,Dingle,PH,77.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
200,Ravar,IR,75.29,clear sky,31.2656,56.8055,computertik
201,Ledyard,US,81.05,clear sky,41.4398,-72.0142,Stonecroft Country Inn
203,Omboue,GA,77.56,overcast clouds,-1.5746,9.2618,Hotel Olako
204,Lompoc,US,81.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
205,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
207,Harper,LR,78.84,overcast clouds,4.375,-7.7169,Screensaver
209,Puerto Colombia,CO,83.05,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
210,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
215,Inirida,CO,84.4,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
216,Bandarbeyla,SO,81.61,overcast clouds,9.4942,50.8122,JABIR HOTEL
217,Nabire,ID,75.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
220,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
224,Santa Cruz,BO,80.82,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
227,Touros,BR,79.32,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Samarinda,ID,75.15,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
233,Irece,BR,81.19,broken clouds,-11.3042,-41.8558,Hotel Copa 70
235,Bengkulu,ID,75.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
236,Batticaloa,LK,81.34,overcast clouds,7.7102,81.6924,Grand Star Guest House
239,Najran,SA,78.13,clear sky,17.4924,44.1277,محمد هادي ال فطيح
248,Dubai,AE,82.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
263,Aparecida Do Taboado,BR,76.15,scattered clouds,-20.0867,-51.0936,Aritana
266,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
269,Pekan,MY,76.96,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
273,Mankono,CI,80.22,light rain,8.0586,-6.1897,Hôtel cotonputeur
275,Oranjestad,AW,80.37,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
278,Trinidad,BO,81.21,clear sky,-14.8333,-64.9,Hotel Piesta
282,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
283,Tabas,IR,77.2,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
