City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Macquarie,AU,-31.4333,152.9167,67.89,94,100,1.14,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,55.87,72,0,11.99,clear sky
2,Rikitea,PF,-23.1203,-134.9692,77.4,75,10,20.11,light rain
3,Fairbanks,US,64.8378,-147.7164,44.94,79,75,5.75,broken clouds
4,Hobart,AU,-42.8794,147.3294,49.01,94,0,9.22,clear sky
5,Grand Gaube,MU,-20.0064,57.6608,73.8,82,12,1.99,few clouds
6,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,100,4.61,overcast clouds
7,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.1,43,24,0.89,few clouds
8,Norman Wells,CA,65.282,-126.8329,53.64,35,20,6.91,few clouds
9,Abrau-Dyurso,RU,44.69,37.59,47.66,86,21,9.42,few clouds
10,Pitimbu,BR,-7.4706,-34.8086,82.99,81,20,9.37,few clouds
11,Luderitz,NA,-26.6481,15.1594,55.13,79,4,11.12,clear sky
12,Vanimo,PG,-2.6741,141.3028,77.2,91,99,4.61,overcast clouds
13,Fortuna,US,40.5982,-124.1573,58.91,64,100,6.91,overcast clouds
14,Jaynagar-Majilpur,IN,22.1758,88.4178,83.12,80,49,16.44,scattered clouds
15,Kahului,US,20.8947,-156.47,82.98,58,35,13.33,scattered clouds
16,Avarua,CK,-21.2078,-159.775,82.45,83,75,9.22,broken clouds
17,Salalah,OM,17.0151,54.0924,82.29,71,0,5.08,clear sky
18,Broome,US,42.2506,-75.833,84.18,36,33,4.0,scattered clouds
19,Qaanaaq,GL,77.484,-69.3632,17.62,74,18,2.48,few clouds
20,Mataura,NZ,-46.1927,168.8643,47.48,86,100,2.62,overcast clouds
21,Pathein,MM,16.7833,94.7333,79.54,88,79,3.94,broken clouds
22,Alofi,NU,-19.0595,-169.9187,76.89,88,100,6.91,light intensity shower rain
23,Amnat Charoen,TH,15.9167,104.75,76.03,93,100,6.38,overcast clouds
24,Albany,US,42.6001,-73.9662,86.63,36,14,1.01,few clouds
25,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,37,6.22,scattered clouds
26,Khandyga,RU,62.6667,135.6,29.89,91,82,2.59,broken clouds
27,Georgetown,MY,5.4112,100.3354,80.53,93,40,10.36,scattered clouds
28,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,76,40,2.3,light rain
29,Majene,ID,-3.5403,118.9707,78.35,86,90,3.2,overcast clouds
